PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT
1630639,A.J. Lawson,NBA,2024-25,Guard,G,26,18.7,9.1,1.2,3.3,0.5,0.2,0.6,7.3,2.4,3.9,0.189
1631260,AJ Green,NBA,2024-25,Guard,G,73,22.7,7.4,1.5,2.4,0.5,0.1,0.5,5.8,0.4,5.0,0.123
1642358,AJ Johnson,NBA,2024-25,Guard,G,29,22.0,7.6,2.6,2.0,0.4,0.1,1.2,7.3,1.3,3.1,0.173
203932,Aaron Gordon,NBA,2024-25,Wing,F,51,28.4,14.7,3.2,4.8,0.5,0.3,1.4,9.7,3.5,3.4,0.186
1628988,Aaron Holiday,NBA,2024-25,Guard,G,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,4.3,0.7,2.9,0.162
1630174,Aaron Nesmith,NBA,2024-25,Wing,G-F,45,24.9,12.0,1.2,4.0,0.8,0.4,0.8,8.4,1.8,4.3,0.171
1630598,Aaron Wiggins,NBA,2024-25,Guard,G,76,22.9,12.0,1.8,3.9,0.8,0.2,0.9,9.6,1.2,4.5,0.2
1641745,Adam Flagler,NBA,2024-25,Guard,G,37,5.5,1.8,0.3,0.7,0.2,0.1,0.1,2.6,0.1,1.9,0.207
1641766,Adama Sanogo,NBA,2024-25,,,4,5.4,2.0,0.3,1.5,0.0,0.0,0.3,1.8,0.0,0.0,0.145
1641737,Adem Bona,NBA,2024-25,Wing,F,58,15.6,5.8,0.5,4.2,0.4,1.2,1.1,3.3,1.7,0.0,0.135
1642349,Ajay Mitchell,NBA,2024-25,Guard,G,36,16.6,6.5,1.8,1.9,0.7,0.1,0.8,5.1,1.0,1.7,0.159
201143,Al Horford,NBA,2024-25,Big,C-F,60,27.6,9.0,2.1,6.2,0.6,0.9,0.8,7.7,0.6,5.2,0.136
202692,Alec Burks,NBA,2024-25,Guard,G,49,17.6,7.3,1.1,2.5,0.6,0.1,0.6,5.5,1.0,4.2,0.16
1627936,Alex Caruso,NBA,2024-25,Guard,G,54,19.3,7.1,2.5,2.9,1.6,0.6,0.7,5.8,0.9,3.1,0.147
1642505,Alex Ducas,NBA,2024-25,Guard,G,21,6.0,1.7,0.2,1.2,0.2,0.0,0.2,1.4,0.1,1.0,0.115
203458,Alex Len,NBA,2024-25,Big,C,46,8.3,1.6,0.8,2.1,0.2,0.5,0.4,1.4,0.4,0.2,0.101
1642024,Alex Reese,NBA,2024-25,Big,F-C,15,14.4,5.1,0.3,3.1,0.7,0.7,0.4,3.6,0.8,2.7,0.123
1642259,Alex Sarr,NBA,2024-25,Big,C,67,27.1,13.0,2.4,6.5,0.7,1.5,1.7,12.4,2.5,5.1,0.23
1631214,Alondes Williams,NBA,2024-25,,,1,3.7,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.286
1630578,Alperen Sengun,NBA,2024-25,Big,C,76,31.5,19.1,4.9,10.3,1.1,0.8,2.6,15.0,5.6,1.2,0.259
1641708,Amen Thompson,NBA,2024-25,Wing,G-F,69,32.3,14.1,3.8,8.2,1.4,1.3,2.0,10.1,3.6,1.3,0.172
1629599,Amir Coffey,NBA,2024-25,Wing,G-F,72,24.3,9.7,1.1,2.2,0.6,0.1,0.6,7.1,1.8,3.4,0.15
203083,Andre Drummond,NBA,2024-25,Big,C,40,18.8,7.3,0.9,7.8,1.0,0.5,1.4,5.9,2.3,0.5,0.183
1641748,Andre Jackson Jr.,NBA,2024-25,Guard,G,67,14.6,3.4,1.2,2.7,0.5,0.2,0.9,2.9,0.4,1.1,0.115
1629614,Andrew Nembhard,NBA,2024-25,Wing,G-F,65,28.9,10.0,5.0,3.3,1.2,0.2,1.7,8.3,2.1,2.7,0.163
203952,Andrew Wiggins,NBA,2024-25,Wing,F,60,30.7,18.0,2.6,4.5,1.0,0.8,1.7,14.0,4.3,5.8,0.238
1629014,Anfernee Simons,NBA,2024-25,Guard,G,70,32.7,19.3,4.8,2.7,0.9,0.1,2.0,16.1,2.8,8.5,0.241
