PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT,RIM_RATE,PAINT_NON_RA_RATE,MIDRANGE_RATE,THREE_ZONE_RATE,THREE_RATE,FT_RATE,OREB_PCT,DREB_PCT
1630639,A.J. Lawson,NBA,2024-25,Guard,G,26,18.7,9.1,1.2,3.3,0.5,0.2,0.6,7.3,2.4,3.9,0.189,0.3631578947368421,0.0894736842105263,0.0157894736842105,0.531578947368421,0.531578947368421,0.331578947368421,0.036,0.128
1631260,AJ Green,NBA,2024-25,Guard,G,73,22.7,7.4,1.5,2.4,0.5,0.1,0.5,5.8,0.4,5.0,0.123,0.0306603773584905,0.025943396226415,0.0872641509433962,0.8561320754716981,0.8561320754716981,0.0636792452830188,0.011,0.087
1642358,AJ Johnson,NBA,2024-25,Guard,G,29,22.0,7.6,2.6,2.0,0.4,0.1,1.2,7.3,1.3,3.1,0.173,0.3708920187793427,0.1830985915492957,0.0234741784037558,0.4225352112676056,0.4225352112676056,0.1737089201877934,0.011,0.073
203932,Aaron Gordon,NBA,2024-25,Wing,F,51,28.4,14.7,3.2,4.8,0.5,0.3,1.4,9.7,3.5,3.4,0.186,0.4325955734406438,0.1167002012072434,0.1046277665995975,0.3460764587525151,0.3460764587525151,0.3601609657947686,0.06,0.109
1628988,Aaron Holiday,NBA,2024-25,Guard,G,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,4.3,0.7,2.9,0.162,0.0820895522388059,0.1604477611940298,0.0820895522388059,0.6753731343283582,0.6753731343283582,0.1529850746268656,0.015,0.073
1630174,Aaron Nesmith,NBA,2024-25,Wing,G-F,45,24.9,12.0,1.2,4.0,0.8,0.4,0.8,8.4,1.8,4.3,0.171,0.2638522427440633,0.1345646437994723,0.0870712401055409,0.5145118733509235,0.5145118733509235,0.2110817941952506,0.034,0.118
1630598,Aaron Wiggins,NBA,2024-25,Guard,G,76,22.9,12.0,1.8,3.9,0.8,0.2,0.9,9.6,1.2,4.5,0.2,0.3296703296703296,0.1552197802197802,0.0494505494505494,0.4656593406593406,0.4656593406593406,0.1222527472527472,0.046,0.113
1641745,Adam Flagler,NBA,2024-25,Guard,G,37,5.5,1.8,0.3,0.7,0.2,0.1,0.1,2.6,0.1,1.9,0.207,0.0625,0.0833333333333333,0.1041666666666666,0.75,0.75,0.0208333333333333,0.029,0.086
1641766,Adama Sanogo,NBA,2024-25,,,4,5.4,2.0,0.3,1.5,0.0,0.0,0.3,1.8,0.0,0.0,0.145,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.217,0.053
1641737,Adem Bona,NBA,2024-25,Wing,F,58,15.6,5.8,0.5,4.2,0.4,1.2,1.1,3.3,1.7,0.0,0.135,0.8489583333333334,0.1354166666666666,0.0104166666666666,0.0052083333333333,0.0052083333333333,0.5208333333333334,0.097,0.164
