league,season,PLAYER_ID,PLAYER_NAME,GP,MIN,role,RIM_FGA,PAINT_FGA,MIDRANGE_FGA,LEFT_CORNER_FGA,RIGHT_CORNER_FGA,ABOVE_BREAK_FGA,BACKCOURT_FGA,TOTAL_FGA,TOTAL_FG3A,TOTAL_FTA,ZONE_FGA,ZONE_FG3A
NBA,2024-25,1630595,Cade Cunningham,70,35.0,Guard,364,483,191.0,12.0,9.0,394,4.0,1457,418,370,1457.0,419.0
NBA,2024-25,1641727,Dariq Whitehead,20,12.3,Wing,10,8,3.0,13.0,7.0,55,0.0,96,74,5,96.0,75.0
NBA,2024-25,203471,Dennis Schröder,75,28.1,Guard,155,162,138.0,23.0,13.0,332,4.0,827,371,216,827.0,372.0
NBA,2024-25,1630170,Devin Vassell,64,31.0,Wing,150,118,191.0,60.0,46.0,323,1.0,889,429,120,889.0,430.0
NBA,2024-25,1630643,Jay Huff,64,11.7,Big,79,17,10.0,26.0,24.0,149,0.0,305,200,56,305.0,199.0
NBA,2024-25,203924,Jerami Grant,47,32.4,Wing,147,76,56.0,39.0,76.0,180,0.0,574,296,166,574.0,295.0
NBA,2024-25,1628404,Josh Hart,77,37.6,Guard,348,117,52.0,35.0,31.0,186,1.0,770,252,205,770.0,253.0
NBA,2024-25,1628398,Kyle Kuzma,65,29.8,Wing,236,213,85.0,46.0,39.0,225,4.0,848,313,202,848.0,314.0
NBA,2024-25,1628379,Luke Kennard,65,22.6,Guard,46,71,51.0,30.0,36.0,196,1.0,431,261,57,431.0,263.0
NBA,2024-25,1628380,Zach Collins,64,15.3,Big,123,66,6.0,11.0,14.0,81,1.0,302,106,78,302.0,107.0
