PLAYER_ID,PLAYER_NAME,league,season,TOTAL_FGA,TOTAL_FG3A,ZONE_FG3A,THREE_CLASSIFICATION_DIFF,BACKCOURT_FGA
1630595,Cade Cunningham,NBA,2024-25,1457,418,419.0,1.0,4.0
1630537,Chris Duarte,NBA,2024-25,26,15,14.0,-1.0,0.0
1641727,Dariq Whitehead,NBA,2024-25,96,74,75.0,1.0,0.0
203471,Dennis Schröder,NBA,2024-25,827,371,372.0,1.0,4.0
1630170,Devin Vassell,NBA,2024-25,889,429,430.0,1.0,1.0
1630643,Jay Huff,NBA,2024-25,305,200,199.0,-1.0,0.0
203924,Jerami Grant,NBA,2024-25,574,296,295.0,-1.0,0.0
1628404,Josh Hart,NBA,2024-25,770,252,253.0,1.0,1.0
1628398,Kyle Kuzma,NBA,2024-25,848,313,314.0,1.0,4.0
1628379,Luke Kennard,NBA,2024-25,431,261,263.0,2.0,1.0
1628380,Zach Collins,NBA,2024-25,302,106,107.0,1.0,1.0
