PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted Area__FGM,Restricted Area__FGA,Restricted Area__FG_PCT,In The Paint (Non-RA)__FGM,In The Paint (Non-RA)__FGA,In The Paint (Non-RA)__FG_PCT,Mid-Range__FGM,Mid-Range__FGA,Mid-Range__FG_PCT,Left Corner 3__FGM,Left Corner 3__FGA,Left Corner 3__FG_PCT,Right Corner 3__FGM,Right Corner 3__FGA,Right Corner 3__FG_PCT,Above the Break 3__FGM,Above the Break 3__FGA,Above the Break 3__FG_PCT,Backcourt__FGM,Backcourt__FGA,Backcourt__FG_PCT,Corner 3__FGM,Corner 3__FGA,Corner 3__FG_PCT,league,season
1628932,A'ja Wilson,1611661319,LVA,29.0,A'ja,91.0,130.0,0.7,150.0,323.0,0.464,66.0,146.0,0.452,0.0,1.0,0.0,2.0,3.0,0.667,23,55,0.418,0.0,0.0,0.0,2.0,4.0,0.5,WNBA,2025
1642290,Aaliyah Edwards,1611661323,CON,23.0,Aaliyah,43.0,71.0,0.606,19.0,44.0,0.432,7.0,30.0,0.233,0.0,3.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,WNBA,2025
1642801,Aaliyah Nye,1611661319,LVA,23.0,Aaliyah,9.0,20.0,0.45,11.0,23.0,0.478,2.0,10.0,0.2,4.0,12.0,0.333,7.0,18.0,0.389,26,88,0.295,0.0,0.0,0.0,11.0,30.0,0.367,WNBA,2025
1630462,Aari McDonald,1611661325,IND,27.0,Aari,31.0,47.0,0.66,6.0,19.0,0.316,5.0,10.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,23,75,0.307,0.0,0.0,0.0,1.0,3.0,0.333,WNBA,2025
1627672,Aerial Powers,1611661325,IND,32.0,Aerial,11.0,16.0,0.688,5.0,17.0,0.294,4.0,13.0,0.308,0.0,0.0,0.0,0.0,1.0,0.0,7,18,0.389,0.0,0.0,0.0,0.0,1.0,0.0,WNBA,2025
1642828,Ajae Petty,1611661321,DAL,23.0,Ajae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0.0,,,,,,,WNBA,2025
1629501,Alanna Smith,1611661324,MIN,29.0,Alanna,87.0,131.0,0.664,11.0,21.0,0.524,9.0,17.0,0.529,8.0,17.0,0.471,4.0,7.0,0.571,41,137,0.299,0.0,0.0,0.0,12.0,24.0,0.5,WNBA,2025
1628297,Alexis Prince,1611661317,PHX,32.0,Alexis,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,WNBA,2025
1642293,Alissa Pili,1611661320,LAS,25.0,Alissa,8.0,14.0,0.571,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3,10,0.3,0.0,0.0,0.0,1.0,2.0,0.5,WNBA,2025
1641648,Aliyah Boston,1611661325,IND,24.0,Aliyah,158.0,256.0,0.617,76.0,161.0,0.472,31.0,58.0,0.534,0.0,2.0,0.0,0.0,1.0,0.0,6,25,0.24,0.0,1.0,0.0,0.0,3.0,0.0,WNBA,2025
1628277,Allisha Gray,1611661330,ATL,31.0,Allisha,90.0,147.0,0.612,45.0,110.0,0.409,13.0,34.0,0.382,0.0,4.0,0.0,1.0,5.0,0.2,97,246,0.394,0.0,0.0,0.0,1.0,9.0,0.111,WNBA,2025
